Feature,Importance
D_60_Standard deviation,262
B_14_Mean absolute deviation,263
D_58_ECDF Percentile_0,263
B_7_Median,265
S_13_Mean absolute deviation,266
D_51_Mean absolute deviation,266
D_102_Standard deviation,268
S_13_Median,269
S_8_Histogram mode,270
S_26_Median,271
R_6_Kurtosis,272
S_11_Mean absolute deviation,273
B_11_Skewness,274
S_15_Kurtosis,275
D_144_Standard deviation,276
S_8_Peak to peak distance,277
B_23_Standard deviation,278
B_14_Absolute energy,278
R_4_Kurtosis,280
B_7_ECDF Percentile_1,281
B_10_Skewness,282
B_23_ECDF Percentile_0,283
B_18_Skewness,284
R_6_Mean absolute deviation,285
B_12_Skewness,286
R_12_Standard deviation,287
D_71_Mean,288
D_63_CR_Entropy,289
D_51_Interquartile range,290
B_23_Interquartile range,290
D_144_ECDF Percentile_0,292
B_24_Root mean square,293
B_40_Kurtosis,294
S_13_Absolute energy,295
B_14_Median,295
D_58_Peak to peak distance,297
R_11_Absolute energy,298
B_11_Median absolute deviation,299
S_26_Root mean square,300
R_16_Peak to peak distance,301
D_58_Mean absolute deviation,302
R_16_Root mean square,303
S_13_Standard deviation,304
S_11_Median absolute deviation,304
B_12_Median absolute deviation,306
B_12_Histogram mode,306
B_24_Kurtosis,308
S_8_Root mean square,309
D_75_Kurtosis,310
B_37_ECDF Percentile_1,311
D_75_Average power,312
S_15_Mean absolute deviation,312
R_10_Kurtosis,314
R_6_Root mean square,315
R_1_Min,316
D_75_Median absolute deviation,317
B_23_Peak to peak distance,318
R_11_Max,319
S_11_ECDF Percentile_1,320
B_18_Interquartile range,321
R_4_Median absolute deviation,322
D_65_Skewness,322
D_102_Interquartile range,324
S_11_Standard deviation,325
B_24_Median,325
D_39_Min,328
R_11_Histogram mode,328
B_4_Mean,328
D_126_1.0_ECDF Percentile Count_1,328
B_4_ECDF Percentile_0,331
D_51_ECDF Percentile_0,332
B_18_ECDF Percentile_1,334
B_24_Skewness,334
R_4_Interquartile range,334
R_5_Absolute energy,336
B_37_Standard deviation,337
D_60_Kurtosis,338
B_14_Median absolute deviation,338
B_23_Histogram mode,340
B_12_ECDF Percentile_0,341
S_5_Skewness,341
B_24_Peak to peak distance,343
R_4_Max,344
D_133_ECDF Percentile_0,346
R_2_Histogram mode,346
B_23_Kurtosis,346
P_4_Standard deviation,348
R_10_Root mean square,349
D_58_Median absolute deviation,351
D_144_Mean,351
S_11_Skewness,351
D_71_Min,353
B_24_Histogram mode,353
R_12_Min,355
S_13_ECDF Percentile_1,356
B_18_Peak to peak distance,357
B_7_Median absolute deviation,358
R_10_Max,359
S_8_Skewness,360
B_9_ECDF Percentile_0,361
D_65_Median absolute deviation,362
D_102_Skewness,363
B_9_Mean absolute deviation,364
R_11_Peak to peak distance,365
B_18_Mean absolute deviation,365
B_37_Interquartile range,367
S_8_Interquartile range,368
D_71_Absolute energy,369
B_1_Histogram mode,370
R_11_Median,371
S_8_Average power,371
R_2_Median,373
D_60_Interquartile range,374
D_65_Kurtosis,375
D_51_Skewness,376
D_102_Median,377
B_1_Median absolute deviation,377
B_12_Interquartile range,379
B_18_Median absolute deviation,379
R_1_ECDF Percentile_0,381
R_3_ECDF Percentile_1,382
D_102_Histogram mode,383
R_11_Kurtosis,384
R_5_Median,385
S_26_ECDF Percentile_0,386
P_4_Peak to peak distance,387
S_5_Histogram mode,388
R_6_Min,389
R_5_ECDF Percentile_1,390
R_10_Min,390
R_6_Peak to peak distance,392
R_6_Standard deviation,393
D_51_Kurtosis,394
D_75_Skewness,394
D_60_Skewness,396
B_7_Histogram mode,396
D_58_Standard deviation,398
R_6_ECDF Percentile_0,399
R_2_Median absolute deviation,400
D_102_Min,401
R_5_Min,402
D_60_Median absolute deviation,402
P_4_Median absolute deviation,404
S_11_Histogram mode,405
S_13_Interquartile range,406
D_75_Histogram mode,407
D_102_Mean,408
B_37_Median absolute deviation,409
D_75_Absolute energy,410
R_1_Median,411
D_133_ECDF Percentile_1,411
D_47_Mean absolute deviation,413
P_4_Mean absolute deviation,414
B_24_Standard deviation,415
D_63_CL_Standard deviation,415
R_2_Mean absolute deviation,417
B_12_Kurtosis,418
R_10_Skewness,418
R_11_Interquartile range,420
R_2_Peak to peak distance,421
S_26_Kurtosis,422
R_12_Interquartile range,423
R_12_Absolute energy,424
R_4_ECDF Percentile_0,425
R_6_Skewness,426
R_2_ECDF Percentile_1,427
R_4_Histogram mode,428
R_4_Absolute energy,429
D_71_ECDF Percentile_0,430
D_144_Absolute energy,431
R_11_Skewness,432
B_7_Interquartile range,433
S_8_Mean absolute deviation,434
B_37_Median,434
R_5_Mean absolute deviation,436
R_16_Kurtosis,436
R_2_Kurtosis,438
D_71_Mean absolute deviation,439
D_144_Kurtosis,439
D_144_Min,441
B_24_Interquartile range,442
B_1_Kurtosis,442
S_13_ECDF Percentile_0,444
D_144_ECDF Percentile_1,445
S_11_Peak to peak distance,446
S_8_Kurtosis,446
R_5_Mean,448
B_14_Kurtosis,449
S_5_Kurtosis,449
S_26_Mean absolute deviation,451
B_7_Kurtosis,452
R_1_Absolute energy,453
P_4_Min,453
S_8_Median absolute deviation,455
D_133_Kurtosis,455
D_102_ECDF Percentile_0,457
B_37_ECDF Percentile_0,458
D_102_Kurtosis,460
B_28_Interquartile range,460
R_12_ECDF Percentile_1,460
B_18_Standard deviation,462
D_58_Skewness,463
D_65_ECDF Percentile_1,464
R_6_Interquartile range,464
R_6_Histogram mode,466
R_11_Median absolute deviation,467
S_13_Median absolute deviation,468
R_16_Median absolute deviation,469
R_12_Median,470
R_10_Median absolute deviation,471
D_71_Skewness,472
B_24_Min,473
B_24_Mean,474
B_12_Median,474
S_15_Skewness,476
R_16_Histogram mode,477
B_9_Min,477
D_47_Standard deviation,479
D_47_Interquartile range,481
R_6_Median absolute deviation,481
R_3_Mean absolute deviation,481
B_24_Average power,484
D_133_Median,484
B_24_Max,484
R_1_Interquartile range,486
D_133_Skewness,487
S_13_Kurtosis,488
B_37_Kurtosis,490
R_16_Min,490
R_10_Interquartile range,490
D_39_Skewness,492
B_9_Kurtosis,492
D_39_Kurtosis,494
D_126_1.0_Skewness,495
R_4_Median,496
R_11_Min,497
R_5_Skewness,498
R_2_Interquartile range,499
B_1_Interquartile range,500
R_3_Median absolute deviation,501
B_18_Kurtosis,502
R_3_Interquartile range,503
D_51_Median absolute deviation,504
R_5_Interquartile range,504
B_40_Skewness,506
D_39_Median,507
R_11_ECDF Percentile_0,508
R_6_Absolute energy,509
D_71_Median absolute deviation,509
B_7_Min,511
B_11_Kurtosis,512
B_24_Median absolute deviation,512
B_40_Interquartile range,514
D_51_ECDF Percentile_1,515
D_71_Interquartile range,516
R_12_Peak to peak distance,517
D_144_Skewness,517
R_1_Skewness,519
B_24_Mean absolute deviation,520
B_7_Standard deviation,521
D_47_Peak to peak distance,521
R_4_ECDF Percentile_1,523
D_75_Interquartile range,524
S_11_Kurtosis,526
R_2_Skewness,526
D_65_ECDF Percentile_0,526
R_16_ECDF Percentile_0,528
R_5_Kurtosis,529
S_5_Mean absolute deviation,529
D_144_Root mean square,531
B_1_Skewness,532
B_23_Mean absolute deviation,533
R_4_Peak to peak distance,534
R_10_ECDF Percentile_0,535
D_47_Skewness,536
R_2_ECDF Percentile_0,537
D_144_Median,538
D_39_ECDF Percentile_0,539
D_58_Interquartile range,540
B_10_Kurtosis,541
R_12_ECDF Percentile_0,542
D_65_Min,543
D_47_Kurtosis,544
R_6_ECDF Percentile_1,545
B_12_Root mean square,546
D_71_Kurtosis,547
D_144_Histogram mode,548
R_12_Mean,549
D_144_Average power,550
R_5_ECDF Percentile_0,551
R_4_Standard deviation,552
D_65_Median,553
D_126_1.0_Absolute energy,553
P_4_ECDF Percentile_1,555
B_11_Interquartile range,555
R_10_ECDF Percentile_1,557
S_15_Median absolute deviation,558
R_4_Min,558
R_12_Max,560
S_8_Standard deviation,560
R_4_Skewness,562
B_24_ECDF Percentile_1,563
R_12_Histogram mode,564
D_71_Histogram mode,565
P_4_Interquartile range,566
S_26_Min,567
S_15_Interquartile range,567
R_10_Absolute energy,569
R_6_Median,569
P_4_Kurtosis,571
S_15_Standard deviation,572
D_133_Histogram mode,572
R_10_Median,574
R_5_Median absolute deviation,575
P_4_ECDF Percentile_0,575
S_26_Skewness,577
R_12_Mean absolute deviation,578
R_12_Average power,579
B_23_Median absolute deviation,580
R_12_Median absolute deviation,581
R_12_Kurtosis,582
D_133_Min,582
R_16_Median,584
B_24_ECDF Percentile_0,585
D_47_Median absolute deviation,586
D_126_1.0_Entropy,587
R_1_Median absolute deviation,588
D_144_Max,588
B_24_Absolute energy,590
R_5_Root mean square,591
R_2_Min,592
P_4_Average power,593
B_23_Root mean square,594
D_63_CO_Skewness,595
D_126_1.0_ECDF Percentile Count_0,596
B_28_ECDF_2,597
D_63_CL_Entropy,598
D_126_1.0_ECDF Percentile_0,599
D_63_CO_Kurtosis,600
D_63_CL_Absolute energy,601
D_63_CO_ECDF Percentile Count_0,604
D_126_1.0_Histogram mode,604
D_63_CL_Kurtosis,604
S_11_ECDF_7,604
D_47_Variance,604
D_63_CO_Entropy,607
D_63_CR_ECDF Percentile_0,607
D_126_1.0_Kurtosis,609
D_63_CO_ECDF Percentile Count_1,614
D_63_CR_ECDF Percentile Count_1,614
S_11_ECDF_8,614
D_63_CO_Mean absolute deviation,614
D_63_CO_Histogram mode,614
D_63_CR_Kurtosis,614
R_11_Variance,614
D_63_CL_Average power,614
D_63_CR_ECDF Percentile_1,614
R_4_ECDF_2,958
R_4_ECDF_4,958
S_8_Entropy,958
S_15_ECDF_3,958
S_15_ECDF_4,958
S_15_ECDF_1,958
R_2_Variance,958
S_15_ECDF_2,958
R_4_ECDF_3,958
S_15_ECDF_0,958
R_12_ECDF_5,958
S_15_ECDF Percentile Count_1,958
R_12_ECDF_4,958
R_12_ECDF_3,958
R_12_ECDF_2,958
R_12_ECDF_1,958
R_12_ECDF_0,958
S_13_ECDF_7,958
R_4_Variance,958
R_12_ECDF Percentile Count_1,958
R_12_ECDF_7,958
S_13_ECDF_8,958
S_5_ECDF Percentile Count_1,958
S_26_Variance,958
R_4_Entropy,958
R_4_ECDF_9,958
S_13_Entropy,958
S_13_ECDF_6,958
R_4_ECDF_8,958
R_3_ECDF Percentile Count_0,958
R_4_ECDF_7,958
R_12_ECDF_6,958
S_5_ECDF Percentile Count_0,958
R_12_ECDF Percentile Count_0,958
S_13_Variance,958
S_15_ECDF Percentile Count_0,958
S_13_ECDF_9,958
R_4_ECDF_6,958
R_2_ECDF Percentile Count_0,958
R_4_ECDF_1,958
S_26_ECDF_0,958
S_26_ECDF_1,958
R_3_ECDF_4,958
R_3_ECDF_5,958
R_3_ECDF_6,958
R_3_ECDF_7,958
R_11_ECDF Percentile Count_1,958
R_3_ECDF_8,958
R_3_ECDF_9,958
R_11_ECDF Percentile Count_0,958
R_3_Entropy,958
S_26_ECDF_2,958
R_10_Variance,958
S_26_ECDF_3,958
S_26_ECDF_4,958
S_26_ECDF_5,958
S_26_ECDF_6,958
S_26_ECDF_7,958
R_4_ECDF Percentile Count_0,958
S_26_ECDF_8,958
R_3_Variance,958
S_26_ECDF_9,958
S_26_Entropy,958
S_26_ECDF Percentile Count_1,958
S_26_ECDF Percentile Count_0,958
R_3_ECDF_3,958
S_15_Variance,958
R_4_ECDF_0,958
S_15_ECDF_5,958
S_15_ECDF_6,958
S_15_ECDF_7,958
S_15_ECDF_8,958
S_15_ECDF_9,958
S_15_Entropy,958
R_3_ECDF_0,958
S_13_ECDF_5,958
R_3_ECDF_1,958
R_3_ECDF_2,958
R_3_ECDF Percentile Count_1,958
S_5_Variance,958
R_11_ECDF_9,958
R_11_ECDF_8,958
R_11_ECDF_7,958
R_11_ECDF_6,958
R_11_ECDF_5,958
R_11_ECDF_4,958
R_11_ECDF_3,958
R_11_ECDF_2,958
R_11_ECDF_1,958
R_11_ECDF_0,958
R_4_ECDF Percentile Count_1,958
R_11_Entropy,958
R_12_ECDF_8,958
S_11_Variance,958
S_13_ECDF_4,958
R_1_ECDF_5,958
R_1_ECDF_4,958
R_6_ECDF_6,958
R_6_ECDF_7,958
R_6_ECDF_8,958
R_6_ECDF_9,958
R_1_ECDF_3,958
R_6_Entropy,958
S_8_ECDF_7,958
S_8_ECDF_8,958
R_1_ECDF_2,958
R_1_ECDF_6,958
R_1_ECDF_1,958
R_2_ECDF_4,958
R_2_ECDF_5,958
R_1_ECDF Percentile Count_1,958
R_1_ECDF Percentile Count_0,958
S_5_ECDF_9,958
S_5_ECDF_8,958
R_16_Variance,958
R_5_Entropy,958
S_5_ECDF_7,958
R_2_ECDF_6,958
S_5_ECDF_6,958
