Feature,Importance
R_6_Median absolute diff,224
P_4_Median diff,227
S_11_Mean diff,227
B_11_Sum absolute diff,227
B_5_Autocorrelation,229
B_7_Median diff,231
D_60_Slope,231
D_51_Mean diff,232
R_12_Area under the curve,233
R_3_Signal distance,235
B_23_Sum absolute diff,235
R_10_Sum absolute diff,236
D_60_Mean absolute diff,238
R_10_Area under the curve,238
D_102_Signal distance,240
R_16_Centroid,240
R_4_Median diff,241
B_11_Median diff,243
S_26_Slope,243
D_102_Mean absolute diff,244
R_6_Mean absolute diff,245
D_60_Median diff,246
S_15_Median absolute diff,247
R_6_Signal distance,249
R_5_Median absolute diff,249
S_8_Median absolute diff,249
B_10_Centroid,252
R_16_Median diff,252
B_12_Mean absolute diff,254
S_8_Signal distance,254
D_51_Mean absolute diff,255
B_40_Centroid,257
B_14_Median diff,257
R_12_Median diff,259
S_15_Mean absolute diff,259
R_2_Signal distance,261
R_3_Median diff,261
D_58_Median absolute diff,262
S_8_Autocorrelation,264
R_10_Median absolute diff,264
D_71_Signal distance,266
S_11_Centroid,266
D_71_Centroid,267
D_71_Median diff,268
R_10_Signal distance,269
B_23_Median absolute diff,270
R_12_Mean diff,272
D_63_CL_Area under the curve,272
R_4_Sum absolute diff,273
R_1_Signal distance,274
D_75_Median diff,276
R_6_Sum absolute diff,276
D_75_Autocorrelation,277
D_102_Slope,278
S_26_Centroid,279
D_102_Autocorrelation,281
B_18_Median absolute diff,281
S_26_Mean diff,281
B_40_Median absolute diff,283
B_24_Area under the curve,285
R_2_Median absolute diff,285
B_23_Mean absolute diff,286
R_4_Median absolute diff,287
S_11_Slope,289
D_51_Slope,289
R_5_Mean absolute diff,290
R_6_Centroid,291
P_4_Median absolute diff,293
B_24_Slope,293
R_2_Centroid,295
S_5_Positive turning points,295
R_4_Slope,296
R_5_Median diff,298
D_144_Area under the curve,298
B_28_Slope,300
D_39_Median diff,300
D_51_Median diff,301
R_1_Median absolute diff,303
D_63_CO_Mean absolute diff,303
D_47_Median diff,304
R_1_Positive turning points,306
R_4_Centroid,306
S_15_Median diff,307
S_15_Autocorrelation,309
D_71_Slope,309
B_5_Median diff,311
R_5_Positive turning points,311
P_4_Mean absolute diff,312
B_11_Median absolute diff,313
D_58_Negative turning points,314
S_8_Positive turning points,315
D_71_Positive turning points,316
B_24_Median diff,317
D_39_Positive turning points,318
R_16_Sum absolute diff,319
R_11_Median diff,321
S_11_Median diff,321
R_12_Slope,322
S_15_Positive turning points,323
B_18_Mean absolute diff,325
R_12_Positive turning points,325
D_47_Positive turning points,326
D_51_Signal distance,327
B_24_Median absolute diff,328
D_51_Median absolute diff,329
S_26_Positive turning points,330
B_11_Mean absolute diff,331
R_6_Area under the curve,332
D_58_Mean diff,333
D_65_Median diff,335
R_12_Median absolute diff,335
R_4_Mean absolute diff,337
B_7_Median absolute diff,337
R_6_Slope,338
R_6_Median diff,339
B_28_Autocorrelation,341
B_1_Negative turning points,341
R_10_Positive turning points,341
R_12_Negative turning points,344
S_8_Negative turning points,344
D_47_Sum absolute diff,345
B_18_Positive turning points,346
B_10_Negative turning points,347
R_4_Signal distance,348
D_51_Centroid,349
S_26_Median diff,350
R_4_Positive turning points,352
B_37_Autocorrelation,352
R_4_Mean diff,353
S_11_Autocorrelation,354
D_60_Positive turning points,355
R_2_Negative turning points,357
R_12_Signal distance,357
B_5_Signal distance,357
B_12_Autocorrelation,360
D_133_Negative turning points,360
R_5_Sum absolute diff,361
B_18_Negative turning points,362
R_16_Negative turning points,364
D_47_Median absolute diff,364
R_1_Autocorrelation,365
B_23_Signal distance,366
B_23_Negative turning points,367
R_4_Negative turning points,368
R_5_Negative turning points,369
D_51_Negative turning points,370
D_58_Autocorrelation,371
R_16_Positive turning points,372
R_3_Negative turning points,373
D_39_Autocorrelation,374
D_39_Negative turning points,376
B_10_Positive turning points,376
P_4_Positive turning points,377
D_51_Positive turning points,378
D_60_Autocorrelation,379
R_10_Negative turning points,380
D_58_Positive turning points,381
S_15_Negative turning points,382
D_47_Autocorrelation,383
B_24_Negative turning points,384
S_11_Positive turning points,385
S_13_Negative turning points,386
D_75_Negative turning points,387
D_60_Negative turning points,388
S_5_Autocorrelation,389
B_14_Autocorrelation,390
S_11_Negative turning points,391
D_63_CL_Autocorrelation,392
D_65_Negative turning points,393
R_6_Positive turning points,394
S_13_Positive turning points,395
B_24_Positive turning points,396
R_6_Negative turning points,397
D_144_Positive turning points,399
B_11_Autocorrelation,399
D_71_Autocorrelation,400
S_26_Negative turning points,401
R_2_Positive turning points,403
B_14_Negative turning points,403
R_1_Negative turning points,405
B_40_Autocorrelation,405
D_144_Negative turning points,407
S_26_Autocorrelation,407
D_65_Positive turning points,409
B_4_Negative turning points,409
B_12_Positive turning points,410
B_9_Autocorrelation,412
R_6_Autocorrelation,412
B_4_Autocorrelation,413
B_7_Zero crossing rate,414
D_71_Negative turning points,415
D_63_CR_Autocorrelation,417
R_16_Autocorrelation,417
B_5_Positive turning points,417
P_4_Negative turning points,419
D_126_1.0_Mean absolute diff,420
B_1_Autocorrelation,421
R_5_Autocorrelation,422
D_63_CL_Mean absolute diff,423
B_10_Zero crossing rate,424
R_10_Autocorrelation,425
D_133_Zero crossing rate,426
D_63_CL_Signal distance,427
D_65_Autocorrelation,430
R_2_Autocorrelation,430
R_4_Autocorrelation,430
R_12_Autocorrelation,430
D_126_1.0_Autocorrelation,430
D_63_CO_Signal distance,434
D_47_Zero crossing rate,434
S_15_Zero crossing rate,437
D_63_CR_Signal distance,437
D_144_Zero crossing rate,437
D_63_CO_Autocorrelation,437
R_11_Autocorrelation,437
B_14_Neighbourhood peaks,492
B_24_Zero crossing rate,492
B_14_Zero crossing rate,492
B_11_Neighbourhood peaks,492
B_24_Neighbourhood peaks,492
S_5_Zero crossing rate,492
B_12_Zero crossing rate,492
S_13_Zero crossing rate,492
S_13_Neighbourhood peaks,492
S_26_Zero crossing rate,492
B_23_Neighbourhood peaks,492
B_10_Neighbourhood peaks,492
B_18_Zero crossing rate,492
S_15_Neighbourhood peaks,492
B_23_Zero crossing rate,492
B_18_Neighbourhood peaks,492
B_1_Neighbourhood peaks,492
B_12_Neighbourhood peaks,492
B_11_Zero crossing rate,492
S_8_Neighbourhood peaks,492
S_5_Neighbourhood peaks,492
S_11_Neighbourhood peaks,492
S_26_Neighbourhood peaks,492
D_63_CO_Positive turning points,492
R_6_Zero crossing rate,492
D_65_Zero crossing rate,492
D_63_CL_Median absolute diff,492
D_71_Neighbourhood peaks,492
D_60_Zero crossing rate,492
D_71_Zero crossing rate,492
D_60_Neighbourhood peaks,492
D_58_Zero crossing rate,492
D_63_CL_Median diff,492
D_75_Neighbourhood peaks,492
D_75_Zero crossing rate,492
D_51_Zero crossing rate,492
P_4_Neighbourhood peaks,492
D_51_Neighbourhood peaks,492
P_4_Zero crossing rate,492
R_10_Neighbourhood peaks,492
R_10_Zero crossing rate,492
D_58_Neighbourhood peaks,492
D_47_Neighbourhood peaks,492
D_63_CL_Neighbourhood peaks,492
D_65_Neighbourhood peaks,492
D_63_CO_Sum absolute diff,492
D_63_CO_Zero crossing rate,492
D_63_CO_Neighbourhood peaks,492
D_63_CO_Negative turning points,492
D_63_CO_Median diff,492
D_63_CR_Mean diff,492
D_63_CR_Median absolute diff,492
D_63_CL_Positive turning points,492
D_63_CR_Median diff,492
D_63_CR_Neighbourhood peaks,492
D_63_CR_Positive turning points,492
D_63_CO_Median absolute diff,492
D_63_CR_Sum absolute diff,492
D_63_CR_Zero crossing rate,492
D_63_CL_Zero crossing rate,492
D_63_CL_Sum absolute diff,492
D_63_CR_Negative turning points,492
D_39_Zero crossing rate,492
R_11_Neighbourhood peaks,492
D_39_Neighbourhood peaks,492
B_7_Neighbourhood peaks,492
B_5_Zero crossing rate,492
B_5_Neighbourhood peaks,492
R_3_Neighbourhood peaks,492
B_4_Zero crossing rate,492
B_4_Neighbourhood peaks,492
R_3_Zero crossing rate,492
R_2_Zero crossing rate,492
B_40_Zero crossing rate,492
R_4_Zero crossing rate,492
B_40_Neighbourhood peaks,492
R_5_Neighbourhood peaks,492
B_37_Neighbourhood peaks,492
R_5_Zero crossing rate,492
B_28_Zero crossing rate,492
R_6_Neighbourhood peaks,492
R_4_Neighbourhood peaks,492
R_2_Neighbourhood peaks,492
B_9_Neighbourhood peaks,492
B_9_Zero crossing rate,492
R_11_Zero crossing rate,492
D_144_Neighbourhood peaks,492
R_12_Neighbourhood peaks,492
D_133_Neighbourhood peaks,492
D_126_1.0_Zero crossing rate,492
D_126_1.0_Sum absolute diff,492
R_16_Neighbourhood peaks,492
D_126_1.0_Positive turning points,492
D_126_1.0_Neighbourhood peaks,492
R_16_Zero crossing rate,492
D_126_1.0_Negative turning points,492
D_126_1.0_Median diff,492
D_126_1.0_Median absolute diff,492
R_1_Neighbourhood peaks,492
D_102_Zero crossing rate,492
R_1_Zero crossing rate,492
D_102_Neighbourhood peaks,492
B_28_Neighbourhood peaks,492
S_8_Zero crossing rate,492
