Feature,Importance
rolling_mean_B_1_6,521
diff_B_5_10,522
cumsum_R_6,523
diff_B_28_7,524
rolling_std_B_1_6,525
diff_S_13_2,526
lag_S_8_1,527
expanding_min_B_14,528
lag_P_4_1,530
diff_B_5_2,530
lag_R_2_1,531
diff_B_18_9,532
diff_S_8_9,533
rolling_std_S_15_6,534
diff_B_1_9,535
diff_R_12_7,537
diff_B_10_7,537
lag_S_26_3,538
lag_B_12_3,540
diff_R_16_5,540
diff_R_3_8,542
diff_D_60_1,542
diff_B_4_1,542
diff_R_2_4,545
lag_B_24_2,545
diff_R_16_8,547
rolling_std_D_47_6,547
diff_D_133_10,549
expanding_min_D_102,549
diff_B_12_2,549
diff_R_12_6,552
diff_R_2_1,552
diff_D_51_9,553
lag_D_144_3,555
rolling_std_B_37_6,555
diff_R_12_4,557
expanding_min_R_10,557
diff_D_60_7,558
diff_D_71_1,560
cumsum_R_5,560
diff_S_8_6,561
diff_B_18_5,562
diff_D_63_CR_7,563
diff_R_1_7,565
cummean_R_10,565
diff_D_75_3,565
diff_D_133_6,567
rolling_mean_R_12_6,569
rolling_std_P_4_6,569
diff_S_15_9,570
diff_D_102_5,572
diff_D_71_9,572
diff_B_1_2,573
expanding_min_P_4,574
diff_D_51_4,576
expanding_max_R_12,576
diff_R_3_7,578
diff_R_6_7,578
diff_D_47_1,578
D_102,580
diff_B_18_1,581
diff_S_13_8,582
expanding_min_R_11,583
rolling_std_D_60_6,584
diff_D_51_2,586
diff_D_65_1,586
ewm_B_14_6,587
diff_S_11_2,589
diff_B_1_6,589
diff_D_65_10,591
diff_P_4_8,591
diff_S_11_7,591
diff_S_8_4,594
diff_D_47_9,594
diff_S_8_7,595
diff_B_14_8,597
diff_B_18_8,597
diff_R_5_8,598
expanding_min_D_58,599
diff_S_13_10,601
diff_D_144_4,601
diff_R_10_5,602
expanding_max_R_10,603
diff_B_14_6,604
diff_B_1_4,605
diff_R_2_10,606
lag_B_23_1,607
diff_D_65_2,609
diff_P_4_7,609
lag_R_2_2,610
lag_R_5_1,611
expanding_min_D_144,613
expanding_min_R_6,613
diff_R_16_7,615
diff_B_24_7,615
diff_D_39_10,617
diff_B_11_5,617
diff_B_23_7,619
lag_R_12_2,619
expanding_min_B_11,621
expanding_min_R_16,621
lag_R_4_1,622
diff_R_4_10,623
rolling_mean_R_4_6,626
diff_D_65_6,626
diff_D_60_3,626
diff_D_75_4,626
diff_D_47_7,629
lag_R_11_2,629
lag_D_65_2,629
diff_P_4_5,632
diff_B_7_8,632
lag_R_6_1,632
diff_B_9_5,634
diff_R_12_9,635
lag_D_39_1,636
diff_S_11_4,637
diff_S_15_8,638
lag_D_133_3,640
diff_S_5_4,640
expanding_max_B_7,641
lag_R_10_3,642
rolling_std_B_11_6,643
diff_D_75_5,644
diff_D_75_2,646
diff_B_12_8,646
diff_S_11_8,647
lag_R_5_2,648
lag_R_4_3,650
lag_S_13_2,650
diff_D_60_2,651
expanding_min_D_133,652
diff_D_60_6,654
diff_B_12_4,654
lag_S_5_2,655
diff_R_6_6,656
lag_S_26_2,657
rolling_mean_B_24_6,659
diff_R_1_6,659
diff_R_2_7,661
diff_B_5_3,661
diff_D_51_3,662
lag_B_4_2,664
expanding_min_B_24,664
diff_R_16_9,667
diff_R_3_1,667
lag_D_51_2,667
diff_P_4_2,667
diff_R_10_9,669
diff_B_24_6,670
diff_S_15_6,672
cumsum_D_58,672
cummean_D_144,673
expanding_max_R_11,674
diff_R_11_7,676
diff_B_11_3,676
diff_D_47_6,678
diff_D_51_10,678
lag_B_18_2,679
diff_D_47_4,680
diff_D_60_9,681
diff_R_1_9,682
diff_R_1_2,683
lag_D_51_1,685
expanding_min_D_39,685
diff_R_5_4,685
diff_R_4_8,687
diff_P_4_1,688
rolling_std_R_2_6,689
lag_R_10_2,691
diff_R_6_2,691
diff_S_8_5,692
lag_R_4_2,694
diff_B_11_6,694
ewm_R_4_6,695
diff_R_5_2,696
diff_R_4_7,698
lag_R_16_2,698
cumsum_B_5,698
cummean_R_5,700
diff_B_24_8,702
diff_B_10_6,702
diff_D_71_8,704
expanding_max_R_4,704
rolling_std_B_14_6,705
R_16,706
diff_B_5_6,707
diff_R_6_9,708
lag_R_3_3,710
diff_R_4_1,710
diff_B_23_8,712
lag_R_16_3,712
lag_D_51_3,712
cummean_B_37,714
diff_D_58_5,716
diff_R_1_4,716
diff_B_7_3,716
lag_B_1_3,718
lag_D_71_1,719
expanding_max_D_144,721
diff_R_10_7,721
diff_S_5_5,722
cummean_D_39,723
diff_D_71_5,724
diff_B_5_9,725
rolling_std_D_51_6,726
lag_D_75_2,727
lag_B_24_1,729
rolling_std_R_4_6,729
diff_R_6_10,730
diff_D_102_10,731
diff_D_144_2,732
diff_B_14_5,733
